20221218 探秘深海,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/1cd24c543ea041b486edd8029ee48f7a/main.m3u8
20221211 让金属“动”起来,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/6522df86f0f9421ca7ee2757a191d4f1/main.m3u8
20221204 科技带来新生活,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/82802acfce4247c5acb07c8ed38dfb02/main.m3u8
20221127 机器人变形记,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/9527fd0c35fa435fa8cca5110889a399/main.m3u8
20221120 不可思议的天体——黑洞,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/48a96b748ea34818a572d23bcb5018b7/main.m3u8
20221113 神秘的宝石,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/544e367b6ed64151bc8a69744b06f703/main.m3u8
20221106 挑战“石漠化”（下）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/91d7dfd6c88e47dbb84074793da80277/main.m3u8
20221030 挑战“石漠化”（上）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/56a9d0c08e0c4ef0bc9fb356523f1162/main.m3u8
20221023 勇闯深海（下）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/d0f26466e8a944e5805681a76a99d19b/main.m3u8
20221016 勇闯深海（上）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/07a472afb8234cc4a75bdaa1a219fcfc/main.m3u8
20221009 科幻地标——中国地质博物馆,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/c46c6fbc73eb4d399a76819a311ba574/main.m3u8
20221002 科幻地标——北京古观象台,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/362c9b2cbc0b4376a6ed5b31518a1c65/main.m3u8
20220925 触觉的奥秘,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/2cea4ac2ec744c119f57b335826b9654/main.m3u8
20220918 嗅觉的奥秘,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/d1a56edc0009424f9bb804106f0e4a7b/main.m3u8
20220911 太阳系之旅——走向未来,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/4b77a42d12e54a68a5cdfe746cdb5813/main.m3u8
20220904 太阳系之旅——探索无限,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/1c4af4bc2c344e7f8425e27a2a9f13e5/main.m3u8
20220828 太阳系之旅——寒冷边缘,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/517c5c667f2f408c829aa7db65a1bc8c/main.m3u8
20220821 太阳系之旅——冥王星,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/76c39a641de84fc1b12bd380fd574b47/main.m3u8
20220814 太阳系之旅——天王星与海王星,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/48c7f0e15c784efbbcba3b2a2ef92bc7/main.m3u8
20220807 太阳系之旅——土星,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/a52ba1ad42574f64afcc017605702c3a/main.m3u8
20220731 太阳系之旅——木星,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/2b4e1847c64e432691a7611c61ba5965/main.m3u8
20220724 太阳系之旅——小行星,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/b3d743ce591b4fbc829c722d80e2f175/main.m3u8
20220717 极端天气的背后,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/baff048a3014494abc006f74a406b8e6/main.m3u8
20220710 风雨来临时,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/beabaf56fa2947439cecd33f78110460/main.m3u8
20220703 味觉的奥秘,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/f58ee84e44514181aded775e67a2fa45/main.m3u8
20220626 感知世界——视觉与听觉,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/5f6910cfafba40ba955d39b38018d546/main.m3u8
20220619 假如星球改变了大小,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/2ccd8c22248a47cbbedf345f22b0306d/main.m3u8
20220612 假如生物改变了大小,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/bf5fff6b6a104f86ae76780aa4de4f5a/main.m3u8
20220605 太阳系之旅——火星,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/85f3520811614bdb93ee264571bff233/main.m3u8
20220529 太阳系之旅——月球,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/03ddedc1cc4747e9942b32d2b71e2f5a/main.m3u8
20220522 太阳系之旅——地球（下）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/d67d482bd43942929be56ec7ec3f65da/main.m3u8
20220515 太阳系之旅——地球（上）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/6e1783b820f44f8c8a86d454608fbed7/main.m3u8
20220508 太阳系之旅——金星,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/637dac6f9f8942298f61bb53c3fc5de6/main.m3u8
20220501 太阳系之旅——水星,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/bb8b753c9a094dc4b9f0046d210ff928/main.m3u8
20220424 太阳系之旅——太阳,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/cda3b28e5e9943e7acbc3967a831c36b/main.m3u8
20220417 太阳系之旅——我们的家园,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/80f3b81e93494e6586b83268d89d7962/main.m3u8
20220410 与蛇同行,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/a72dff09dbbd43a8b987084623ed5cd2/main.m3u8
20220403 你不知道的水世界,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/2b67f64ef59149669328892e711fdc1b/main.m3u8
20220327 蜘蛛的超能力,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/d0ce7023002d4675bd1ed3cc5ca8197a/main.m3u8
20220320 假如星球变小了,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/9af47d04e2e347f9ac47973e532e43b0/main.m3u8
20220313 假如星球变大了,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/954e12d2d71649b1bcec415b32a655d4/main.m3u8
20220306 雷电的力量,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/90d661731c274cd39484afb51d4b09c7/main.m3u8
20220227 假如生物变小了,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/f0948351a95a4713818b2e85696e5b6f/main.m3u8
20220220 假如生物变大了,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/d3bf572444d0461198491bd629bbe41b/main.m3u8
20220213 冰雪之梦（下）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/4c46247ddb244a22938820f947533eac/main.m3u8
20220212 冰雪之梦（中）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/b07c1f42402a49a5bfe626b4fb146a59/main.m3u8
20220130 冰雪之梦（上）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/0ecef35c7d9341f39f3daf75f55ea95b/main.m3u8
20220123 能源冲击波,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/6eca2718146a4707bd2d75585ff1d734/main.m3u8
20220116 终极半机械人军队,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/74320686044c4f32b34cc413ea13bc5e/main.m3u8
20220109 如何成为超级英雄,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/764824c1b57e4710a414cef0edc26b44/main.m3u8
