林正英,#genre#
僵尸叔叔,https://dow.dowlzi.com/20220404/871_a85e594d/僵尸叔叔.mp4
僵尸先生,https://dow.dowlz12.com/20230218/10424_d061d344/僵尸先生国语.mp4
新僵尸先生,https://cdn2.vipzyk-video.com/20220416/14024_62f651eb/index.m3u8
僵尸至尊,https://dow.dowlz3.com/20220410/3292_a28e66f9/僵尸至尊.mp4
音乐僵尸,https://dow.dowlz3.com/20220410/3280_125d2750/音乐僵尸国语.mp4
僵尸家族,https://dow.dowlz2.com//20220416/3555_8ea3dbe0/僵尸先生2僵尸家族.Mr.Vampire.II.1986.mp4
灵幻至尊,https://dow.dowlz2.com//20220407/2547_24e21cd1/灵幻至尊.mp4
灵幻先生,https://dow.dowlzi.com/20220404/881_d43c3ed8/灵幻先生.mp4
一眉道人,https://dow.dowlzi.com/20220404/832_c503f818/一眉道人.mp4
鬼咬鬼,https://cdn6.vipzyk-video.com/20220627/1810_a941ae91/index.m3u8
妖怪都市,https://cdn2.vipzyk-video.com/20220416/14027_2f281bd2/index.m3u8
甩皮鬼,https://dow.dowlz2.com//20220407/2540_c95aba91/金装鬼打鬼.DVD.mp4
精灵变,https://dow.dowlz10.com/20230222/14433_9352a243/Banana.Spirit.1992.国语无字.mp4
鬼打鬼,https://dow.dowlzi.com/20220404/866_b961e9f2/鬼打鬼.mp4
鬼打鬼之黄金道士,https://dow.dowlz2.com//20220408/2660_ee641956/鬼打鬼之灵幻天师.mp4
黄大仙,https://dow.dowlz2.com//20220409/1365_42ba4443/笑傲侠义黄大仙.mp4
驱魔道长,https://dow.dowlz2.com//20220407/2563_97d3615b/驱魔道长.mp4
驱魔警察,https://dow.dowlz2.com//20220407/2537_67968b31/僵尸先生5驱魔警察(粤语).mp4
血玫瑰,https://dow.dowlzi.com/20220405/1174_04863e1f/血玫瑰.DVD.mp4
钟馗嫁妹,https://vod2.bdzybf7.com/20220330/WY9sGnih/index.m3u8
艳鬼情未了,https://cdn9.vipzyk-video.com/20220929/341_ecf12724/index.m3u8
羞羞鬼,https://dow.dowlz2.com//20220408/2707_58f482b8/羞羞鬼.mp4
画皮之阴阳法王,https://dow.dowlz2.com//20220407/2531_27913bc2/画皮之阴阳法王.mp4
天地玄门,https://dow.dowlz2.com//20220407/2574_ee5d63ff/天地玄门.mp4
哗鬼旅行团,https://dow.dowlz3.com/20220410/3282_7caab076/猛鬼旅行团.mp4
人吓鬼,https://dow.dowlzi.com/20220404/891_a3593dbe/人吓鬼.mp4

杰森·斯坦森,#genre#
怒火攻心1,https://dow.dowlz5.com/20220519/6915_188f1b58/怒火攻心.Crank.2006.mp4
怒火攻心2：高压电,https://dow.dowlz5.com/20220519/6914_6949642d/怒火攻心2：高压电.Crank.2.High.Voltage.2009.mp4
敢死队1,https://dow.dowlzi.com/20220330/1397_d8baea1c/敢死队2010.mp4
敢死队2,https://dow.dowlz5.com/20220524/6591_aef292b0/敢死队2 The Expendables 2 (2012).mp4
敢死队3,https://dow.dowlz9.com/20220810/27936_678848b1/敢死队3.mp4
玩命快递1,https://dow.dowlz5.com/20220524/6505_430044e4/玩命快递 The Transporter (2002).mp4
玩命快递2,https://dow.dowlz2.com//20220407/2438_c15283cf/玩命快递22005.mp4
玩命快递3,https://dow.dowlzi.com/20220326/621_64131e1e/玩命快递3.mp4
机械师1,https://dow.dowlz5.com/20220527/6806_4eb73c05/机械师 The Mechanic (2011).mp4
机械师2：复活,https://dow.dowlz7.com/20220816/21816_892d5bfa/机械师2复活英语.mp4
铁血精英,https://dow.dowlz5.com/20220423/4144_fd392fe1/铁血精英 Killer Elite (2011).mp4
人之怒,https://dow.dowlz3.com/20220707/17731_b2b3775b/人之怒原声.mp4
偷拐抢骗,https://dow.dowlz10.com/20220921/13929_7a193223/偷拐抢骗.Snatch.2000.英语.mp4
蜂鸟特攻,https://dow.dowlz5.com/20220524/6557_ff8e89f3/蜂鸟特攻 Hummingbird (2013).mp4
玩命追踪,https://cdn5.vipzyk-video.com/20220523/19808_789f1b49/index.m3u8
银行大劫案,https://dow.dowlz5.com/20220429/4843_3a09c4fb/银行大劫案.The.Bank.Job.2008.mp4
家园防线,https://dow.dowlz10.com/20220920/13871_6e014b25/家园防线.Homefront.2013.mp4
怒火保镖,https://dow.dowlz10.com/20221206/12401_1397b3dd/怒火保镖.Wild.Card.2015.mp4
游侠,https://dow.dowlz5.com/20220525/7651_7129595f/游侠.War.2007.TW.mp4
偷天换日,https://dow.dowlz10.com/20221124/16251_03b4b291/意大利任务.2003.英.mp4
帕克,https://cdn2.vipzyk-video.com/20220505/18562_b38f6933/index.m3u8
乱战,https://dow.dowlz7.com/20221028/17855_cd13c767/乱战.Chaos.2005.英语.mp4
巨齿鲨,https://dow4.dowlzi.com/20220625/8365_9dcf3b4a/巨齿鲨.The.Meg.2018.mp4
地牢围攻,https://cdn2.vipzyk-video.com/20220501/17378_5d3dcf96/index.m3u8
死亡飞车,https://cdn4.vipzyk-video.com/20220614/20079_9ccaed57/index.m3u8
粉红豹,https://cdn3.vipzyk-video.com/20220509/18050_af5b8ea6/index.m3u8
宇宙追缉令,https://dow.dowlz10.com/20230124/13727_fe289ca0/宇宙追缉令.The.One.2001.英.mp4


